# StatLean API index — 614 declarations
# Generated by scripts/gen_statlean_index.py
# Format: name<TAB>file:line<TAB>kind
# Usage: grep -i '<keyword>' theme/statlean_api_index.tsv
absoluteMoment	Statlean/Moments/Basic.lean:67	noncomputable def
ae_eq_zero_of_integral_piSys_zero	Statlean/Variance/EfronStein.lean:334	private lemma
ae_memLp_fiber	Statlean/Gaussian/Poincare.lean:795	private lemma
ae_memLp_slice_of_memLp_pi	Statlean/Entropy/LogSobolev.lean:751	private lemma
approximationError	Statlean/Regression/MasterBound.lean:29	def
are_gt_one_iff	Statlean/Estimator/Asymptotic.lean:140	theorem
are_inv	Statlean/Estimator/Asymptotic.lean:134	theorem
as_implies_inProbability	Statlean/LimitTheorems/Convergence.lean:199	theorem
asymptotic_mse_decomp	Statlean/Estimator/Asymptotic.lean:113	theorem
asymptotic_mse_eq_var_of_unbiased	Statlean/Estimator/Asymptotic.lean:123	theorem
basu_theorem	Statlean/Sufficiency/Basu.lean:88	theorem
bayesTestRisk	Statlean/Testing/Basic.lean:304	noncomputable def
bayes_is_admissible	Statlean/Estimator/Bayes.lean:44	theorem
bayes_test_optimality	Statlean/Testing/Basic.lean:316	theorem
berry_esseen_smoothing	Statlean/LimitTheorems/BerryEsseen.lean:273	lemma
berry_esseen_theorem	Statlean/LimitTheorems/BerryEsseen.lean:1254	theorem
blue_is_umvue	Statlean/Regression/Estimability.lean:115	theorem
blue_min_dotProduct_sq	Statlean/Regression/Estimability.lean:70	theorem
borel_cantelli_first	Statlean/LimitTheorems/Convergence.lean:278	theorem
borel_cantelli_second	Statlean/LimitTheorems/Convergence.lean:285	theorem
capacity_control	Statlean/Regression/MasterBound.lean:279	theorem
cdf_smoothing_bound	Statlean/LimitTheorems/BerryEsseen.lean:169	lemma
centralMoment	Statlean/Moments/Basic.lean:37	noncomputable def
central_limit_theorem	Statlean/LimitTheorems/CLT.lean:46	theorem
charFun_eq_of_subseq	Statlean/LimitTheorems/Levy.lean:214	private lemma
charFun_eq_of_subseq_inner	Statlean/LimitTheorems/CramerWold.lean:93	lemma
charFun_gaussianReal_standard	Statlean/CharFun/Taylor.lean:292	lemma
charFun_map_innerSL	Statlean/LimitTheorems/CramerWold.lean:41	lemma
charfun_arith_aux	Statlean/CharFun/Taylor.lean:537	private lemma
charfun_diff_exp_bound	Statlean/LimitTheorems/BerryEsseen.lean:850	private lemma
charfun_diff_taylor_bound	Statlean/LimitTheorems/BerryEsseen.lean:450	private lemma
charfun_error_le_j	Statlean/LimitTheorems/LindebergFeller.lean:124	private lemma
charfun_final_arithmetic	Statlean/CharFun/Taylor.lean:561	private lemma
charfun_iid_sum_eq_prod	Statlean/CharFun/Taylor.lean:304	lemma
charfun_indep_sum_eq_prod	Statlean/LimitTheorems/LindebergFeller.lean:48	lemma
charfun_integral_bound	Statlean/LimitTheorems/BerryEsseen.lean:1042	lemma
charfun_integrand_bound	Statlean/LimitTheorems/BerryEsseen.lean:756	private lemma
charfun_lindeberg_pointwise	Statlean/LimitTheorems/LindebergFeller.lean:490	private theorem
charfun_normalized_sum_bound	Statlean/CharFun/Taylor.lean:663	lemma
charfun_prod_exp_decay	Statlean/LimitTheorems/BerryEsseen.lean:377	lemma
charfun_prod_vs_pow_bound	Statlean/CharFun/Taylor.lean:471	lemma
charfun_taylor_third_moment	Statlean/CharFun/Taylor.lean:106	lemma
chiSquaredMeasure	Statlean/Distribution/TDist.lean:31	def
chiSquaredPDFReal	Statlean/Distribution/TDist.lean:42	def
clip	Statlean/Sufficiency/Basu.lean:60	private def
clip_bounded	Statlean/Sufficiency/Basu.lean:66	private lemma
clip_eq	Statlean/Sufficiency/Basu.lean:73	private lemma
clip_measurable	Statlean/Sufficiency/Basu.lean:62	private lemma
clt_isAsymptoticallyNormal	Statlean/Estimator/Asymptotic.lean:90	theorem
compl_Icc_eq_abs_gt	Statlean/LimitTheorems/Levy.lean:65	private lemma
complete_implies_as	Statlean/LimitTheorems/Convergence.lean:235	theorem
complete_unbiased_ae_unique	Statlean/Sufficiency/LehmannScheffe.lean:23	theorem
complex_pow_approx_exp	Statlean/CharFun/Taylor.lean:366	lemma
complex_pow_approx_exp_decay	Statlean/CharFun/Taylor.lean:417	lemma
condEntropyAt	Statlean/Entropy/Basic.lean:71	def
condEntropyAt_eq	Statlean/Entropy/Basic.lean:132	lemma
condEntropyAt_le_of_satisfiesLSI	Statlean/Entropy/LogSobolev.lean:724	private lemma
condEntropyAt_nonneg	Statlean/Entropy/Basic.lean:181	lemma
condEntropyAt_nonneg_of_nonneg	Statlean/Entropy/LogSobolev.lean:1000	private lemma
condEntropyAt_of_condExpect_self	Statlean/Entropy/LogSobolev.lean:1011	private lemma
condExpExceptCoord	Statlean/Variance/EfronStein.lean:82	def
condExp_condExp_comm_pi	Statlean/Variance/EfronStein.lean:384	private lemma
condExp_eq_fiberAvg_pi	Statlean/Gaussian/Poincare.lean:649	private lemma
condExp_eq_of_sufficient	Statlean/Sufficiency/LehmannScheffe.lean:51	theorem
condExp_reduces_mse	Statlean/Sufficiency/LehmannScheffe.lean:69	theorem
condExpect_nonneg_of_nonneg	Statlean/Entropy/LogSobolev.lean:1030	private lemma
condVar_integral_eq_zero_of_measurable	Statlean/Variance/RaoBlackwell.lean:260	theorem
condVar_integral_eq_zero_of_stronglyMeasurable	Statlean/Variance/RaoBlackwell.lean:248	theorem
condVar_integral_nonneg	Statlean/Variance/RaoBlackwell.lean:50	lemma
condVar_le_condExp_gradf_sq_ae	Statlean/Gaussian/Poincare.lean:911	private lemma
condVar_le_condExp_gradf_sq_ae_succ	Statlean/Gaussian/Poincare.lean:851	private lemma
constant_risk_bayes_is_minimax	Statlean/Estimator/Bayes.lean:67	theorem
continuous_charFun	Statlean/LimitTheorems/CramerWold.lean:53	lemma
continuous_mapping	Statlean/LimitTheorems/DeltaMethod.lean:39	theorem
corrCoeff	Statlean/Moments/Covariance.lean:96	noncomputable def
correlation	Statlean/Moments/Basic.lean:85	noncomputable def
covariance	Statlean/Moments/Basic.lean:80	noncomputable def
covariance_self_eq_variance	Statlean/Moments/Basic.lean:124	theorem
coveringNumber	Statlean/EmpiricalProcess/CoveringNumber.lean:31	def
coveringNumber_anti	Statlean/EmpiricalProcess/CoveringNumber.lean:46	theorem
coveringNumber_lt_top_of_isCompact	Statlean/EmpiricalProcess/CoveringNumber.lean:85	theorem
coveringNumber_lt_top_of_totallyBounded	Statlean/EmpiricalProcess/CoveringNumber.lean:67	theorem
coveringNumber_mono	Statlean/EmpiricalProcess/CoveringNumber.lean:57	theorem
cramer_rao	Statlean/Information/CramerRao.lean:22	theorem
cramer_wold_charFun	Statlean/LimitTheorems/CramerWold.lean:240	theorem
cramer_wold_forward	Statlean/LimitTheorems/CramerWold.lean:80	theorem
cramer_wold_iff	Statlean/LimitTheorems/CramerWold.lean:299	theorem
cramer_wold_reverse	Statlean/LimitTheorems/CramerWold.lean:271	theorem
cumulant	Statlean/Moments/Basic.lean:97	noncomputable def
delta_method	Statlean/LimitTheorems/DeltaMethod.lean:139	theorem
delta_method_sqrt_n	Statlean/LimitTheorems/DeltaMethod.lean:273	theorem
densityRatio_satisfies_DRC	Statlean/Sufficiency/MinimalSufficiency.lean:196	theorem
derivative_hermite	Statlean/Gaussian/Hermite.lean:24	theorem
det_averaging_equality	Statlean/SPD/Determinant.lean:70	theorem
det_empirical_mean	Statlean/SPD/Determinant.lean:37	theorem
dudleyEntropyUpper	Statlean/Regression/MasterBound.lean:81	def
dudleyEntropyUpper_le_estimationErrorUpper_of_entropyIntegral_le_Msq	Statlean/Regression/MasterBound.lean:138	lemma
dudley_entropy_integral	Statlean/EmpiricalProcess/Dudley.lean:84	theorem
dudley_entropy_integral_of_bound	Statlean/EmpiricalProcess/Dudley.lean:71	theorem
dudley_finite	Statlean/EmpiricalProcess/Dudley.lean:59	theorem
dudley_finite_of_bound	Statlean/EmpiricalProcess/Dudley.lean:49	theorem
edgeworthCDF	Statlean/LimitTheorems/Convergence.lean:724	noncomputable def
edgeworthCorrection	Statlean/LimitTheorems/Convergence.lean:716	noncomputable def
efficient_is_umvue	Statlean/Estimator/UMVUE.lean:131	theorem
efron_stein	Statlean/Variance/EfronStein.lean:1374	theorem
efron_stein_anova_key	Statlean/Variance/EfronStein.lean:1352	lemma
efron_stein_condVar_le_of_condExp	Statlean/Variance/EfronStein.lean:603	private lemma
efron_stein_core	Statlean/Variance/EfronStein.lean:1344	theorem
efron_stein_core_gen	Statlean/Variance/EfronStein.lean:769	private theorem
efron_stein_core_unique	Statlean/Variance/EfronStein.lean:228	lemma
efron_stein_iff_condVar_sum_bound	Statlean/Variance/EfronStein.lean:165	theorem
efron_stein_isEmpty	Statlean/Variance/EfronStein.lean:86	lemma
efron_stein_of_condVar_sum_bound	Statlean/Variance/EfronStein.lean:137	theorem
efron_stein_of_integral_bound	Statlean/Variance/EfronStein.lean:96	theorem
efron_stein_rhs_eq_sum_integral_condVar	Statlean/Variance/EfronStein.lean:125	lemma
efron_stein_rhs_nonneg	Statlean/Variance/EfronStein.lean:180	lemma
efron_stein_term_eq_integral_condVar_exceptCoord	Statlean/Variance/EfronStein.lean:105	lemma
efron_stein_to_condVar_sum_bound	Statlean/Variance/EfronStein.lean:154	theorem
efron_stein_unique	Statlean/Variance/EfronStein.lean:219	theorem
efron_stein_unique_eq	Statlean/Variance/EfronStein.lean:188	theorem
empiricalCDF	Statlean/LimitTheorems/Convergence.lean:333	noncomputable def
empiricalCDF_mono	Statlean/LimitTheorems/Convergence.lean:343	private lemma
empiricalMetricImage	Statlean/Regression/MasterBound.lean:70	def
empiricalNorm	Statlean/Regression/MasterBound.lean:54	def
empiricalRisk	Statlean/Regression/Basic.lean:49	def
empiricalSphere	Statlean/Regression/MasterBound.lean:64	def
entropy	Statlean/Entropy/Basic.lean:31	def
entropyIntegral	Statlean/EmpiricalProcess/CoveringNumber.lean:40	def
entropyPi	Statlean/Entropy/Basic.lean:35	def
entropyPi_const	Statlean/Entropy/Basic.lean:115	lemma
entropyPi_eq_integral_mul_log_of_integral_eq_one	Statlean/Entropy/Basic.lean:103	lemma
entropyPi_nonneg_of_density	Statlean/Entropy/Basic.lean:165	lemma
entropyPi_sq_eq	Statlean/Entropy/Basic.lean:126	lemma
entropy_chain_rule_pi	Statlean/Entropy/LogSobolev.lean:911	private lemma
entropy_const	Statlean/Entropy/Basic.lean:110	lemma
entropy_eq_integral_mul_log_of_integral_eq_one	Statlean/Entropy/Basic.lean:97	lemma
entropy_eq_two_integral_sq_log_abs	Statlean/Entropy/LogSobolev.lean:131	lemma
entropy_le_of_integral_eq_and_pointwise_le	Statlean/Entropy/Basic.lean:210	lemma
entropy_nonneg_of_density	Statlean/Entropy/Basic.lean:148	lemma
entropy_sq_eq	Statlean/Entropy/Basic.lean:120	lemma
entropy_sq_nonneg_of_integrable	Statlean/Entropy/LogSobolev.lean:148	lemma
entropy_sq_of_const_eq_zero	Statlean/Entropy/LogSobolev.lean:90	lemma
entropy_subadditivity_fin1	Statlean/Entropy/LogSobolev.lean:1056	private lemma
entropy_subadditivity_of_nonneg	Statlean/Entropy/LogSobolev.lean:1080	private lemma
entropy_subadditivity_pi	Statlean/Entropy/LogSobolev.lean:1126	private lemma
esseen_charfun_integral_bound	Statlean/LimitTheorems/BerryEsseen.lean:1186	lemma
esseen_concentration_universal	Statlean/LimitTheorems/BerryEsseen.lean:736	lemma
esseen_fourier_cdf_bound	Statlean/LimitTheorems/BerryEsseen.lean:695	private lemma
estimable_wellDefined	Statlean/Regression/Estimability.lean:50	theorem
estimationErrorUpper	Statlean/Regression/MasterBound.lean:35	def
excessKurtosis	Statlean/Moments/Basic.lean:60	noncomputable def
excessRisk	Statlean/Regression/Basic.lean:44	def
expFamilyLogDensity	Statlean/Information/Basic.lean:39	noncomputable def
expFamily_fisher_eq	Statlean/Information/Basic.lean:56	theorem
expFamily_fisher_eq_variance	Statlean/Information/Basic.lean:68	theorem
expFamily_mle_eq_sufficient_stat	Statlean/ExpFamily/Basic.lean:29	theorem
expFamily_score_eq	Statlean/Information/Basic.lean:44	theorem
expfamily_umvue	Statlean/Estimator/UMVUE.lean:184	theorem
factorization_backward	Statlean/Sufficiency/Factorization.lean:55	theorem
factorization_forward	Statlean/Sufficiency/Factorization.lean:157	theorem
fiber_variance_le_fiber_grad_sq	Statlean/Gaussian/Poincare.lean:613	private lemma
fisherInformation	Statlean/Information/Basic.lean:25	noncomputable def
frechet_mean_decomposition	Statlean/SPD/FrechetMean.lean:36	theorem
frechet_mean_empirical_decomposition	Statlean/SPD/FrechetMean.lean:76	theorem
frechet_mean_existence_transfer	Statlean/SPD/FrechetMean.lean:17	theorem
gauss_markov	Statlean/Regression/GaussMarkov.lean:64	theorem
gauss_markov_sq	Statlean/Regression/GaussMarkov.lean:73	theorem
gaussianReal_density_bounded	Statlean/LimitTheorems/BerryEsseen.lean:708	private lemma
gaussian_lipschitz_concentration	Statlean/SubGaussian/Lipschitz.lean:154	theorem
gaussian_lipschitz_concentration_of_expIntegrable	Statlean/SubGaussian/Lipschitz.lean:78	theorem
gaussian_lipschitz_concentration_of_universal_herbst	Statlean/SubGaussian/Lipschitz.lean:174	theorem
gaussian_lipschitz_upper_tail	Statlean/SubGaussian/Lipschitz.lean:139	theorem
gaussian_lipschitz_upper_tail_of_expIntegrable	Statlean/SubGaussian/Lipschitz.lean:25	theorem
gaussian_lipschitz_upper_tail_of_universal_herbst	Statlean/SubGaussian/Lipschitz.lean:165	theorem
gaussian_log_sobolev	Statlean/Entropy/LogSobolev.lean:1239	theorem
gaussian_log_sobolev_of_tensorization_at	Statlean/Entropy/LogSobolev.lean:622	theorem
gaussian_log_sobolev_of_universal_tensorization	Statlean/Entropy/LogSobolev.lean:634	theorem
gaussian_log_sobolev_structured_of_tensorization_at	Statlean/Entropy/LogSobolev.lean:647	theorem
gaussian_log_sobolev_structured_of_universal_tensorization	Statlean/Entropy/LogSobolev.lean:658	theorem
gaussian_lsi_1d	Statlean/Entropy/LogSobolev.lean:685	theorem
gaussian_lsi_1d_core	Statlean/Entropy/LogSobolev.lean:681	theorem
gaussian_lsi_1d_ibp_core	Statlean/Entropy/LogSobolev.lean:464	lemma
gaussian_lsi_normalized	Statlean/Entropy/LogSobolev.lean:441	lemma
gaussian_lsi_normalized_of_integrable	Statlean/Entropy/LogSobolev.lean:426	private lemma
gaussian_poincare	Statlean/Gaussian/Poincare.lean:980	theorem
gaussian_poincare_1d	Statlean/Gaussian/Poincare.lean:485	theorem
