NAME	KIND
BoundedContinuousFunction.instNonUnitalRing	def
BoundedContinuousFunction.instNonUnitalSeminormedCommRing	def
BoundedContinuousFunction.instNonUnitalSeminormedRing	def
BoundedContinuousFunction.instNorm	def
BoundedContinuousFunction.instNormOneClass	thm
BoundedContinuousFunction.instNormedAddCommGroup	def
BoundedContinuousFunction.instNormedAlgebra	def
BoundedContinuousFunction.instNormedCommRing	def
BoundedContinuousFunction.instNormedRing	def
BoundedContinuousFunction.instNormedSpace	def
BoundedContinuousFunction.instNormedStarGroup	thm
BoundedContinuousFunction.instOne	def
BoundedContinuousFunction.instPartialOrder	def
BoundedContinuousFunction.instPow	def
BoundedContinuousFunction.instPseudoMetricSpace	def
BoundedContinuousFunction.instRing	def
BoundedContinuousFunction.instSMul	def
BoundedContinuousFunction.instSMul'	def
BoundedContinuousFunction.instSMul.congr_simp	thm
BoundedContinuousFunction.instSMulCommClass	thm
BoundedContinuousFunction.instSMulCommClass_1	thm
BoundedContinuousFunction.instSMulCommClass_2	thm
BoundedContinuousFunction.instSMulInt	def
BoundedContinuousFunction.instSMulNat	def
BoundedContinuousFunction.instSMulNat.congr_simp	thm
BoundedContinuousFunction.instSemilatticeInf	def
BoundedContinuousFunction.instSemilatticeSup	def
BoundedContinuousFunction.instSeminormedAddCommGroup	def
BoundedContinuousFunction.instSeminormedCommRing	def
BoundedContinuousFunction.instSeminormedRing	def
BoundedContinuousFunction.instSemiring	def
BoundedContinuousFunction.instSemiring.congr_simp	thm
BoundedContinuousFunction.instStarAddMonoid	def
BoundedContinuousFunction.instStarAddMonoid.congr_simp	thm
BoundedContinuousFunction.instStarModule	thm
BoundedContinuousFunction.instStarRing	def
BoundedContinuousFunction.instSub	def
BoundedContinuousFunction.instSub.congr_simp	thm
BoundedContinuousFunction.instSup	def
BoundedContinuousFunction.instZero	def
BoundedContinuousFunction.intCast_apply	thm
BoundedContinuousFunction.integrable	thm
BoundedContinuousFunction.integrable_of_nnreal	thm
BoundedContinuousFunction.integral_add_const	thm
BoundedContinuousFunction.integral_const_sub	thm
BoundedContinuousFunction.integral_eq_integral_nnrealPart_sub	thm
BoundedContinuousFunction.isBounded_image	thm
BoundedContinuousFunction.isBounded_range	thm
BoundedContinuousFunction.isBounded_range_integral	thm
BoundedContinuousFunction.isEmbedding_coeFn	thm
BoundedContinuousFunction.isInducing_coeFn	thm
BoundedContinuousFunction.isometry_extend	thm
BoundedContinuousFunction.lintegral_le_edist_mul	thm
BoundedContinuousFunction.lintegral_lt_top_of_nnreal	thm
BoundedContinuousFunction.lintegral_nnnorm_le	thm
BoundedContinuousFunction.lintegral_of_real_lt_top	thm
BoundedContinuousFunction.lipschitz_comp	thm
